tier;PRICE;NOSOLD;TOTALSOLD
T10;0.4217;2;0.8434
PT02;0.158;1900;300.2
PT03;0.1817;2613;474.78209999999996
PT05;0.234;3500;819
PT04;0.2071;2625;543.6375
T09;0.3749;19;7.1231
PT07;0.2962;2850;844.17
T08;0.3332;391.00000000000006;130.2812
PT13;0.5094;2250;1146.15
PT08;0.3332;2300;766.36
PT01;0.1316;1425;187.53
T07;0.2962;1032;305.6784
PT12;0.4783;2250;1076.175
PT09;0.3749;3000;1124.7
T01;0.1316;231;30.3996
PT11;0.4492;2500;1123
T02;0.158;306;48.348
T05;0.234;1818;425.412
T11;0.4492;1;0.4492
PT10;0.4217;2750;1159.675
T06;0.2633;2011;529.4963
PT06;0.2633;3500;921.5500000000001
T04;0.2071;927.9999999999999;192.1888
PT14;0.5426;2000;1085.2
T03;0.1817;337;61.2329
